Row ID,Order ID,Order Date,Category,Sub-Category,Sales,Quantity,Discount,Profit,State,Sales per Unit,Discount _Flag,Leakage_Flag,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,Postal Code,Region,Product ID,,,Product Name
541,CA-2014-140795,02/01/2014,Technology,Accessories,468.90,6,0,206.32,Wisconsin,78.15,Normal,Normal,03/02/2014,First Class,BD-11500,Bradley Drucker,Consumer,United States,Green Bay,54302,Central,TEC-AC-10001432,,,Bush Somerset Collection Bookcase
158,CA-2014-104269,03/01/2014,Furniture,Chairs,457.57,2,0.2,51.48,Washington,228.784,Normal,Normal,06/03/2014,Second Class,DB-13060,Dave Brooks,Consumer,United States,Seattle,98115,West,FUR-CH-10004063,,,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
5714,US-2014-143707,03/01/2014,Technology,Phones,5.94,3,0,1.60,New York,1.98,Normal,Normal,05/03/2014,Standard Class,HR-14770,Hallie Redmond,Home Office,United States,New York City,10035,East,TEC-PH-10003655,,,Self-Adhesive Address Labels for Typewriters by Universal
6548,CA-2014-113880,03/01/2014,Furniture,Chairs,634.12,6,0.3,-172.12,Illinois,105.686,Normal,Revenue Leakage,05/03/2014,Standard Class,VF-21715,Vicky Freymann,Home Office,United States,Elmhurst,60126,Central,FUR-CH-10000863,,,Bretford CR4500 Series Slim Rectangular Table
6549,CA-2014-113880,03/01/2014,Office Supplies,Paper,17.47,3,0.2,5.68,Illinois,5.824,Normal,Normal,05/03/2014,Standard Class,VF-21715,Vicky Freymann,Home Office,United States,Elmhurst,60126,Central,OFF-PA-10003036,,,Eldon Fold 'N Roll Cart System
7948,CA-2014-131009,03/01/2014,Office Supplies,Fasteners,18.84,5,0.2,-3.53,Texas,3.768,Normal,Revenue Leakage,05/03/2014,Standard Class,SC-20380,Shahid Collister,Consumer,United States,El Paso,79907,Central,OFF-FA-10004395,,,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood"
7949,CA-2014-131009,03/01/2014,Furniture,Chairs,362.25,6,0.3,0.00,Texas,60.375,Normal,Normal,05/03/2014,Standard Class,SC-20380,Shahid Collister,Consumer,United States,El Paso,79907,Central,FUR-CH-10001270,,,Newell 322
7950,CA-2014-131009,03/01/2014,Furniture,Furnishings,63.55,6,0.6,-34.95,Texas,10.592,High Discount,Revenue Leakage,05/03/2014,Standard Class,SC-20380,Shahid Collister,Consumer,United States,El Paso,79907,Central,FUR-FU-10001095,,,Mitel 5320 IP Phone VoIP phone
7951,CA-2014-131009,03/01/2014,Office Supplies,Storage,129.55,3,0.2,-22.67,Texas,43.184,Normal,Revenue Leakage,05/03/2014,Standard Class,SC-20380,Shahid Collister,Consumer,United States,El Paso,79907,Central,OFF-ST-10001469,,,DXL Angle-View Binders with Locking Rings by Samsill
8310,CA-2014-168312,03/01/2014,Office Supplies,Storage,137.35,3,0.2,8.58,Texas,45.784,Normal,Normal,07/03/2014,Standard Class,GW-14605,Giulietta Weimer,Consumer,United States,Houston,77036,Central,OFF-ST-10003692,,,Belkin F5C206VTEL 6 Outlet Surge
8311,CA-2014-168312,03/01/2014,Furniture,Tables,376.51,3,0.3,-43.03,Texas,125.503,Normal,Revenue Leakage,07/03/2014,Standard Class,GW-14605,Giulietta Weimer,Consumer,United States,Houston,77036,Central,FUR-TA-10001866,,,Chromcraft Rectangular Conference Tables
1373,US-2014-157021,04/01/2014,Office Supplies,Labels,29.60,2,0,14.80,California,14.8,Normal,Normal,06/04/2014,Second Class,KM-16720,Kunst Miller,Consumer,United States,Vallejo,94591,West,OFF-LA-10002312,,,Konftel 250 Conference phone - Charcoal black
1374,US-2014-157021,04/01/2014,Office Supplies,Binders,17.09,4,0.2,5.55,California,4.272,Normal,Normal,06/04/2014,Second Class,KM-16720,Kunst Miller,Consumer,United States,Vallejo,94591,West,OFF-BI-10000042,,,Xerox 1967
